Season,game_id,home_team_id,Home Team,away_team_id,Away Team,Home Shots,Home Shots Blocked,Home Power Play Opportunities,Home PIM,Home Player Hits,Home Giveaways,Home Takeaways,Home Injured Players,Away Shots,Away Shots Blocked,Away Power Play Opportunities,Away PIM,Away Player Hits,Away Giveaways,Away Takeaways,Away Injured Players
2016,2016021117,5,Pittsburgh Penguins (PIT),4,Philadelphia Flyers (PHI),31.7716927455,15.8541963015,3.2300853485000003,10.332503555999999,25.676742532,9.2972972975,6.45341394,2.8271692745,31.598506400999998,15.139402560499999,3.4797297295,10.0857041255,27.131934565999998,7.9320768135,5.568278805,2.7051920344999996
2011,2011020582,23,Vancouver Canucks (VAN),30,Minnesota Wild (MIN),31.85,11.771710526500001,3.695394737,13.3993421055,21.9217105265,7.1565789475,6.157236842,2.498026316,28.166447368500002,16.007894737,3.685526316,12.775,22.528289473500003,7.4828947370000005,6.6434210525,2.6164473685000003
2017,2017020671,5,Pittsburgh Penguins (PIT),17,Detroit Red Wings (DET),33.3704088705,13.4885654885,3.4698544695,9.9178794175,22.0824670825,9.446985447,6.586278586500001,2.6604296605,30.7252252255,13.6694386695,3.402286902,9.9255024255,22.2214137215,9.6923076925,6.857241857,2.6826056830000002
2013,2013020814,21,Colorado Avalanche (COL),30,Minnesota Wild (MIN),28.501879699,14.59962406,3.057017544,10.9348370925,23.3214285715,6.223057644000001,6.5025062655,2.689849624,29.834586466,13.6766917295,3.097744361,9.7869674185,19.4962406015,6.1403508769999995,7.652255639,2.6766917295
2018,2018020918,4,Philadelphia Flyers (PHI),14,Tampa Bay Lightning (TBL),31.9817813765,14.3370445345,3.101551957,9.717948717999999,21.8272604585,9.105263158,6.6056005395,2.753036437,31.80634278,14.355937922,3.3363697705,9.0016869095,22.801619433,9.363022942,7.694331984,2.7763157895
2015,2015020704,15,Washington Capitals (WSH),24,Anaheim Ducks (ANA),28.977220077,15.088030887999999,3.242857143,9.549034749,24.0289575285,9.5671814675,6.65019305,2.7196911200000002,28.8853281855,13.725868726,2.8023166025,10.5243243245,24.3366795365,8.4965250965,5.981853281999999,2.4575289575
2008,2008021221,8,Montreal Canadiens (MTL),5,Pittsburgh Penguins (PIT),30.2158408405,15.134384384,4.5097597595,14.3795045045,24.651276275999997,9.615615616,7.0645645645,2.549174174,28.46996997,16.094219219,4.590465465,14.1606606605,22.186936937,9.407657658,6.395645646,2.4512012015
2014,2014020975,29,Columbus Blue Jackets (CBJ),21,Colorado Avalanche (COL),30.814542484,13.222222222,3.5571895424999997,11.241013072000001,26.225490196,5.918300653499999,7.770424837,2.7312091505,31.22875817,14.050653595,3.419117647,12.239379085,24.022875817,6.547385621,7.491013071999999,2.473039216
2009,2009021061,11,Atlanta Thrashers (ATL),4,Philadelphia Flyers (PHI),28.461538461499998,13.4871794875,4.0641025645,14.538461538,17.807692308,8.7564102565,8.410256409999999,2.4102564104999997,33.064102564,14.1153846155,3.8846153845,15.3205128205,18.192307692500002,7.5,7.730769231,2.3076923075
2005,2005021072,21,Colorado Avalanche (COL),24,Anaheim Ducks (ANA),29.1963562755,13.3164642375,6.4450067475,16.329959514000002,12.3134278,7.848852901500001,8.887989204,2.4639001350000003,30.7570850205,10.1848852905,5.871794872000001,17.652496626,14.415317138999999,7.5330634275,8.779014845,2.3265856950000003
