Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Injured Players,Giveaways,Takeaways
2014,30,Minnesota Wild (MIN),6.846938762,6.669429018,1.414528637,6.579284727,6.075578653,0.743360391,3.304105371,3.198150089
2006,10,Toronto Maple Leafs (TOR),7.598076680,3.768628942,1.774282087,6.962859345,7.812547436,0.831664997,6.393907356,3.969030754
2009,14,Tampa Bay Lightning (TBL),6.919639460,4.254032777,1.771389430,9.632976216,5.320256404,0.784055859,3.846326919,2.728764161
2009,9,Ottawa Senators (OTT),7.071022484,4.613247368,1.852925615,9.392304542,6.913198080,0.767530171,3.551453296,4.645855611
2018,21,Colorado Avalanche (COL),5.962433001,4.885738976,1.410391357,4.638918856,6.238836183,0.706629490,3.772905752,2.549112730
2005,11,Atlanta Thrashers (ATL),6.269584700,4.468966314,2.790479283,13.033332125,7.523512402,0.753758016,5.802065805,6.064208842
2010,29,Columbus Blue Jackets (CBJ),6.125440476,4.888854764,1.745435919,12.078447288,8.964059033,0.547996624,3.040023313,3.131741977
2011,28,San Jose Sharks (SJS),7.045813918,4.083901703,1.599075045,7.851847881,6.429169822,0.662195344,6.423344790,4.075053448
2018,19,St Louis Blues (STL),5.172193664,4.451769757,1.298044928,5.632318872,5.383985660,0.5,3.852848874,3.425742881
2015,24,Anaheim Ducks (ANA),7.601636268,4.312382016,1.409451887,6.912052560,7.449211791,0.557605927,4.446318466,2.502771573
2008,9,Ottawa Senators (OTT),6.211672396,4.190224719,1.836602636,10.472212130,8.563848189,0.821967306,4.243630917,3.499579807
2014,10,Toronto Maple Leafs (TOR),5.383212701,5.336710642,1.298532320,4.228105590,7.843629423,0.842739705,4.765838144,5.942290031
2018,15,Washington Capitals (WSH),4.891424260,4.722227336,1.432204281,4.279778115,8.190000148,0.456500387,4.772789159,4.430673505
2008,21,Colorado Avalanche (COL),6.747603925,5.303113790,1.973434682,6.956269298,5.964711039,0.598940864,4.833087022,5.803939549
2018,28,San Jose Sharks (SJS),7.282530907,4.570740276,1.386519346,7.863580446,5.761054035,0.220721428,3.658499062,4.557256822
2006,6,Boston Bruins (BOS),6.471672093,4.365448758,2.247220505,6.336340138,4.794507439,0.909822938,4.767865317,3.171299869
2009,19,St Louis Blues (STL),4.953222482,4.890846335,1.435523857,10.936943547,7.362321555,0.737468406,3.930228194,3.558077996
2017,20,Calgary Flames (CGY),6.722713670,5.012076454,1.483910868,10.868180814,6.396178180,0.162221421,4.439894146,4.372746321
2008,27,Phoenix Coyotes (PHX),4.814112138,5.044546307,1.980763344,10.081276315,6.759377870,0.599048294,3.312774438,2.760456506
2015,8,Montreal Canadiens (MTL),5.843551875,3.727202408,1.489504442,4.500712194,5.630431101,0.383534243,5.069689772,3.386087277
2017,5,Pittsburgh Penguins (PIT),6.951635503,5.023023913,1.369121590,7.779345642,8.169096832,0.502356122,3.919224909,2.903299812
2003,30,Minnesota Wild (MIN),5.528730083,5.429556644,1.978008539,6.471075814,4.717405198,0.841660622,6.282355793,3.557293711
2016,5,Pittsburgh Penguins (PIT),7.616561692,4.786429767,1.592022153,5.398809790,8.604070550,0.346583497,4.722637325,3.905797646
2003,1,New Jersey Devils (NJD),5.768940307,3.258344169,1.309307341,6.079722462,5.326641460,0.932152114,8.349306820,4.724689310
2018,12,Carolina Hurricanes (CAR),7.514045644,4.275039201,1.704316334,3.650542157,8.240171524,0.638387906,5.279997952,7.104183048
2017,8,Montreal Canadiens (MTL),6.486152591,5.715239943,1.662071939,5.177549376,7.866034193,0.442359030,6.030064130,3.210559501
2010,26,Los Angeles Kings (LAK),4.673418539,4.310229469,1.822449264,9.115376574,7.132802877,0.508191163,6.389509044,2.842988319
2016,12,Carolina Hurricanes (CAR),5.866154167,4.238280926,1.917193327,3.373649745,5.826915237,0.169030851,4.291480714,4.798108871
2013,20,Calgary Flames (CGY),6.231152418,6.103802934,1.699408486,5.702238119,6.071437077,0.409073869,5.833150180,2.892355787
2009,15,Washington Capitals (WSH),5.820168294,4.368887672,2.164841440,6.029840326,8.567941140,0.334932064,5.221994903,3.915780041
2017,16,Chicago Blackhawks (CHI),7.238224360,4.030476987,1.587772345,4.245647833,6.302318559,0.229243435,4.777638101,3.859585003
2011,26,Los Angeles Kings (LAK),6.086678315,4.598224656,1.752056301,7.089952420,6.922040992,0.342569987,5.760326864,2.604433249
2015,14,Tampa Bay Lightning (TBL),5.294190165,4.654186387,1.703690246,5.415128169,6.006456933,0.633354545,3.278990408,2.710419283
2005,30,Minnesota Wild (MIN),5.571156682,4.783998294,1.917319316,5.588208136,4.539525025,0.586625566,5.829678824,4.231333541
2003,21,Colorado Avalanche (COL),5.926439831,4.789694820,1.803358212,9.737737387,6.654498699,0.933053179,4.468000135,6.615870910
