Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2008,5,Pittsburgh Penguins (PIT),6.635739072,6.240789008,1.647639134,8.673247675,8.289162214,4.720252195,4.158099300,0.802585911
2006,22,Edmonton Oilers (EDM),6.471234571,5.057477442,2.273030283,8.194336285,5.824252907,7.366020517,4.513077428,0.750375281
2010,2,NY Islanders Islanders (NYI),6.674673063,5.741197135,1.646488497,8.143874328,5.921474947,4.611822586,3.592241874,0.725293334
2011,27,Phoenix Coyotes (PHX),7.357279025,4.019688388,1.597062080,5.760398097,7.355169306,6.038450794,2.980594005,0.590066215
2018,15,Washington Capitals (WSH),5.579886660,4.359143690,1.464856204,6.303603702,7.745461664,4.654874011,3.902801999,0.413154950
2006,27,Phoenix Coyotes (PHX),6.722178790,4.427086977,2.682386101,8.989149281,4.475324405,4.902502885,4.241578832,0.762286745
2017,3,NY Rangers Rangers (NYR),7.374555463,4.206020883,1.612539765,3.969746902,5.183681584,4.683207494,3.068214506,0.611064412
2011,52,Winnipeg Jets (WPG),6.808844275,3.426622498,1.955971837,5.434015875,6.549534059,4.119826813,4.030290714,0.776919303
2009,27,Phoenix Coyotes (PHX),5.198616139,4.957256322,1.764141469,6.331685708,6.332937514,5.755908947,3.008119095,0.601826488
2016,20,Calgary Flames (CGY),6.113727761,4.874236272,1.539660601,6.594374515,5.946477734,4.681080835,3.738329398,0.674679208
2016,21,Colorado Avalanche (COL),7.531669829,4.115557693,1.549193338,5.860851460,6.616759978,3.963700843,2.662216174,0.612200879
2011,22,Edmonton Oilers (EDM),6.344466270,3.642219895,1.541712320,7.482010457,8.035114378,4.512411978,4.067375511,0.731118687
2006,8,Montreal Canadiens (MTL),6.692015582,4.430673505,1.514275362,7.393097777,6.905426979,5.870399746,7.289775376,0.689279831
2015,25,Dallas Stars (DAL),6.065549947,6.025314073,1.613642055,5.510367830,6.895068021,4.422639930,3.889384466,0.459605867
2014,4,Philadelphia Flyers (PHI),6.733180102,5.179323974,1.227657467,3.747591819,9.972780415,4.239272175,3.993943828,0.717137166
2018,22,Edmonton Oilers (EDM),5.569488613,4.361671936,1.378817602,5.102923603,6.448890870,4.706235082,3.863238126,0.480782908
2016,17,Detroit Red Wings (DET),5.547128529,4.172091706,1.592392629,5.410967698,5.627878452,4.423601922,4.825198409,0.731925055
