Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2015,10,Toronto Maple Leafs (TOR),30.972222222,13.361111111,2.972222222,7.916666667,27.083333333,7.194444444,8.277777778,2.916666667
2003,8,Montreal Canadiens (MTL),27.026315789,12.052631579,3.921052632,12.947368421,15.578947368,12.5,7.605263158,2.552631579
2016,9,Ottawa Senators (OTT),28.944444444,17.361111111,3.194444444,11.388888889,26.333333333,10.277777778,6.888888889,2.111111111
2008,7,Buffalo Sabres (BUF),30.702702703,12.891891892,4.540540541,14.135135135,17.594594595,10.432432432,5.054054054,2.810810811
2009,5,Pittsburgh Penguins (PIT),32.268292683,15.560975610,4.195121951,14.414634146,27.634146341,7.951219512,5.048780488,2.024390244
2018,14,Tampa Bay Lightning (TBL),33.717948718,13.948717949,3.435897436,8.871794872,24.076923077,8.410256410,7.230769231,3
2003,23,Vancouver Canucks (VAN),29.648648649,10.243243243,5,14.081081081,16.918918919,10.702702703,7.270270270,2.648648649
2014,30,Minnesota Wild (MIN),31.705882353,14.941176471,3.382352941,9.470588235,16.764705882,6.852941176,6.117647059,2.588235294
2006,10,Toronto Maple Leafs (TOR),33.25,12.45,5.325,13.925,20.2,12.7,6.875,2.225
2009,14,Tampa Bay Lightning (TBL),28.625,12.825,4.125,16.775,21.55,7.975,6.2,2.525
2009,9,Ottawa Senators (OTT),30.275,14.5,3.55,14.3,24.05,9.05,8.575,1.975
2018,21,Colorado Avalanche (COL),31.769230769,15.846153846,3.564102564,9.820512821,19.153846154,6.230769231,5.230769231,2.025641026
2005,11,Atlanta Thrashers (ATL),31.538461538,12.769230769,6.948717949,18.025641026,16.769230769,10.384615385,8.743589744,2.102564103
2010,29,Columbus Blue Jackets (CBJ),29.918918919,14.351351351,3.810810811,15,25.918918919,4.378378378,6.567567568,2.756756757
2011,28,San Jose Sharks (SJS),34.588235294,16.441176471,3.558823529,10.5,17.382352941,11.205882353,8,2.529411765
2018,19,St Louis Blues (STL),30.138888889,15.194444444,3.027777778,9.638888889,20.611111111,7.111111111,7.916666667,2.75
2015,24,Anaheim Ducks (ANA),29.257142857,13.857142857,2.685714286,12.4,26.457142857,9.371428571,4.828571429,2.428571429
2008,9,Ottawa Senators (OTT),29.342857143,14.828571429,4.257142857,14.542857143,24.885714286,10.142857143,8.6,2.028571429
2014,10,Toronto Maple Leafs (TOR),29.486486486,15.729729730,3.621621622,9.108108108,32.243243243,9.189189189,10.540540541,2.108108108
2018,15,Washington Capitals (WSH),29.578947368,15.394736842,3.052631579,8.815789474,22.289473684,11.631578947,8.131578947,2.815789474
2008,21,Colorado Avalanche (COL),28.888888889,16.138888889,4.361111111,13.694444444,17.277777778,9.888888889,8.833333333,2.388888889
2018,28,San Jose Sharks (SJS),35.125,13.325,2.975,8.1,17.8,9.5,8.725,2.95
2006,6,Boston Bruins (BOS),29.055555556,13.5,5.25,15.277777778,15.611111111,7.194444444,6,1.972222222
2009,19,St Louis Blues (STL),29.307692308,12.641025641,3.692307692,14.743589744,20.512820513,7.025641026,6.153846154,2.333333333
2017,20,Calgary Flames (CGY),32.684210526,13.526315789,3.473684211,10.131578947,17.184210526,9.736842105,8.473684211,3.026315789
2008,27,Phoenix Coyotes (PHX),27.864864865,14.675675676,4.486486486,14.918918919,21.243243243,4.567567568,4.864864865,2.594594595
2015,8,Montreal Canadiens (MTL),31.435897436,13.051282051,3.307692308,8.820512821,20.666666667,10.666666667,6.461538462,2.897435897
2017,5,Pittsburgh Penguins (PIT),34.794871795,14.923076923,3.615384615,10.538461538,23.948717949,8.461538462,6.307692308,2.564102564
2003,30,Minnesota Wild (MIN),23.973684211,13.921052632,4.078947368,12.736842105,7.552631579,13.210526316,7.315789474,2.684210526
2016,5,Pittsburgh Penguins (PIT),34.648648649,15.918918919,3.486486486,9.270270270,24.432432432,8.594594595,6.459459459,2.864864865
2003,1,New Jersey Devils (NJD),29.114285714,10.171428571,3.857142857,10.914285714,11.457142857,13.371428571,8.028571429,2.885714286
