Season,team_id,Team,Total Wins,Total Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2016,1,New Jersey Devils (NJD),14,1028,477,83,18,128,347,774,321,199,101,
2009,25,Dallas Stars (DAL),17,1251,527,114,35,170,413,1088,351,319,107,
2017,29,Columbus Blue Jackets (CBJ),22,1347,593,109,14,119,300,885,245,306,99,14
2018,9,Ottawa Senators (OTT),15,1137,681,123,26,119,382,796,466,288,80,
2005,14,Tampa Bay Lightning (TBL),19,1228,503,118,35,240,465,403,317,311,61,16
2016,10,Toronto Maple Leafs (TOR),16,1190,541,102,22,110,387,869,343,310,106,14
2003,5,Pittsburgh Penguins (PIT),9,834,534,75,22,172,604,511,258,165,94,
2015,30,Minnesota Wild (MIN),19,991,509,95,22,109,253,597,256,240,81,16
2005,16,Chicago Blackhawks (CHI),13,1132,425,99,30,216,822,609,224,208,76,
2011,20,Calgary Flames (CGY),18,1114,537,95,23,131,437,734,367,321,112,
2016,20,Calgary Flames (CGY),19,1078,523,99,23,124,465,740,368,286,108,15
2013,12,Carolina Hurricanes (CAR),14,1159,522,90,19,137,339,928,335,408,111,
2015,29,Columbus Blue Jackets (CBJ),14,1124,555,97,21,121,526,1074,197,198,96,
2018,13,Florida Panthers (FLA),16,1270,509,119,39,137,318,788,514,337,102,
2010,27,Phoenix Coyotes (PHX),17,1128,437,96,24,136,436,764,240,198,99,11
2015,20,Calgary Flames (CGY),17,1047,604,95,14,111,293,743,325,260,97,
2008,16,Chicago Blackhawks (CHI),20,1076,383,121,35,154,537,621,173,208,66,6
2018,3,NY Rangers Rangers (NYR),16,1051,591,104,22,108,348,959,505,306,90,
2010,16,Chicago Blackhawks (CHI),20,1244,560,121,35,139,406,906,303,414,79,13
2018,22,Edmonton Oilers (EDM),18,1146,544,107,25,116,376,1005,466,339,111,
2006,17,Detroit Red Wings (DET),23,1199,399,109,28,189,474,580,491,280,76,2
2010,25,Dallas Stars (DAL),22,1038,554,105,25,152,560,1048,344,310,89,
2013,28,San Jose Sharks (SJS),25,1404,650,122,29,157,334,706,386,294,108,5
2013,23,Vancouver Canucks (VAN),23,1317,621,109,19,129,467,769,264,260,108,
2016,52,Winnipeg Jets (WPG),17,1069,537,99,20,123,393,901,379,290,108,
2014,7,Buffalo Sabres (BUF),14,881,694,70,10,107,503,1034,255,164,109,
2013,24,Anaheim Ducks (ANA),28,1304,618,129,19,131,397,917,302,236,111,2
2009,4,Philadelphia Flyers (PHI),19,1247,580,109,33,155,681,753,328,282,95,15
2009,8,Montreal Canadiens (MTL),21,1172,731,110,32,127,539,812,558,299,98,16
2008,29,Columbus Blue Jackets (CBJ),16,1090,445,92,17,161,568,882,203,240,102,15
2018,30,Minnesota Wild (MIN),18,1215,580,110,26,112,327,745,231,261,90,
2017,54,Vegas Golden Knights (VGK),26,1195,598,130,23,126,267,709,369,441,98,5
2014,52,Winnipeg Jets (WPG),19,1137,539,94,21,125,537,1070,353,252,102,14
2010,11,Atlanta Thrashers (ATL),20,1264,682,125,32,153,478,729,318,411,108,
2008,4,Philadelphia Flyers (PHI),20,1045,557,125,38,142,689,735,368,242,81,9
2008,2,NY Islanders Islanders (NYI),12,1109,648,96,31,168,605,790,339,344,83,
2015,23,Vancouver Canucks (VAN),14,1113,510,91,21,128,458,734,295,189,92,
2015,16,Chicago Blackhawks (CHI),21,1159,510,103,27,116,280,689,309,234,95,5
2006,23,Vancouver Canucks (VAN),20,1185,405,94,33,208,606,605,267,263,71,8
2006,7,Buffalo Sabres (BUF),28,1124,635,146,36,214,556,576,494,263,69,1
2017,17,Detroit Red Wings (DET),14,1139,485,97,24,118,355,745,407,238,97,
