Season,team_id,Team,Total Wins,Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2016,24,Anaheim Ducks (ANA),18,29.315789474,13.789473684,2.684210526,0.789473684,3.236842105,11.868421053,26.105263158,8.894736842,4.631578947,2.236842105,6
2011,29,Columbus Blue Jackets (CBJ),10,31.540540541,11.027027027,2.378378378,0.621621622,4.189189189,11.621621622,25.027027027,5,7.513513514,2.810810811,
2016,25,Dallas Stars (DAL),16,29.540540541,16.324324324,2.594594595,0.594594595,3.648648649,11.837837838,19.432432432,7.837837838,5.216216216,2.810810811,
2018,4,Philadelphia Flyers (PHI),15,31.578947368,14.289473684,2.868421053,0.368421053,2.921052632,10,22.526315789,9.210526316,5.236842105,2.736842105,
2016,14,Tampa Bay Lightning (TBL),18,30,12.243243243,2.810810811,0.810810811,3.594594595,11.054054054,20.486486486,8.297297297,6.891891892,2.216216216,
2008,30,Minnesota Wild (MIN),18,27.666666667,12.388888889,2.472222222,0.944444444,4.138888889,11.944444444,18,8.027777778,5.194444444,2.722222222,
2010,12,Carolina Hurricanes (CAR),17,30.388888889,14.805555556,2.75,0.666666667,4.111111111,10.638888889,24.833333333,7.305555556,8.388888889,1.527777778,
2016,22,Edmonton Oilers (EDM),19,31.405405405,14.189189189,2.864864865,0.702702703,3.243243243,9.648648649,25.162162162,10.027027027,6.081081081,2.675675676,8
2011,18,Nashville Predators (NSH),20,27.315789474,14.552631579,2.552631579,0.710526316,3.421052632,10.710526316,17.763157895,8.631578947,7.5,2.184210526,5
2017,25,Dallas Stars (DAL),21,31.717948718,14.410256410,2.897435897,0.615384615,3.076923077,10.333333333,20.564102564,7.717948718,6.307692308,2.461538462,
2010,9,Ottawa Senators (OTT),16,28.052631579,12.789473684,2.263157895,0.605263158,3.105263158,13.315789474,19.421052632,9.710526316,7.815789474,1.710526316,
2013,18,Nashville Predators (NSH),18,28.9,15.375,2.375,0.675,3.225,10.675,19.975,7.7,7.15,2.425,
2008,28,San Jose Sharks (SJS),28,34.486486486,11.918918919,3.378378378,1.054054054,4.702702703,12.864864865,23.918918919,10.189189189,7.378378378,2.108108108,1
2006,29,Columbus Blue Jackets (CBJ),14,27.447368421,12.184210526,2.578947368,1,6.131578947,16.289473684,16.5,5.578947368,6.263157895,1.921052632,
2017,28,San Jose Sharks (SJS),20,32.542857143,15.714285714,2.742857143,0.8,3.571428571,9.114285714,18.314285714,13.571428571,10.714285714,2.971428571,11
2005,27,Phoenix Coyotes (PHX),20,26.666666667,11.974358974,2.923076923,1.256410256,6.589743590,18.641025641,16.256410256,8.256410256,6.487179487,1.794871795,
2005,13,Florida Panthers (FLA),15,31.3,11,2.65,0.775,5.1,16.125,12.525,8.25,5.25,2.375,
2009,20,Calgary Flames (CGY),22,26.871794872,12.871794872,2.743589744,0.615384615,3.564102564,15.384615385,21.487179487,10.102564103,6.641025641,2.564102564,
2011,6,Boston Bruins (BOS),24,32.764705882,13.794117647,3.470588235,0.705882353,3.647058824,15.735294118,21,7.382352941,5.617647059,2.088235294,7
2009,13,Florida Panthers (FLA),16,28.756097561,16.243902439,2.731707317,0.682926829,4,12.804878049,21.121951220,6.097560976,6.195121951,1.512195122,
2016,23,Vancouver Canucks (VAN),16,27.810810811,12.027027027,2.378378378,0.432432432,3.081081081,9.513513514,18.351351351,6.810810811,5.891891892,2.756756757,
2015,5,Pittsburgh Penguins (PIT),18,31.945945946,13.567567568,2.297297297,0.594594595,3.378378378,8.729729730,24.945945946,7.621621622,6.216216216,2.648648649,4
2010,5,Pittsburgh Penguins (PIT),25,31.897435897,12.666666667,3.153846154,0.692307692,4.102564103,16.974358974,26.025641026,6.897435897,5.128205128,2.743589744,4
2018,24,Anaheim Ducks (ANA),19,27.45,14.75,2.45,0.425,2.85,9.475,22.325,11.475,6.55,2.675,
2016,21,Colorado Avalanche (COL),12,28.342857143,14.6,2.057142857,0.457142857,3.4,11.428571429,22.828571429,6.4,7.828571429,2.514285714,
2009,30,Minnesota Wild (MIN),20,29,12.275,2.575,0.7,4.025,11.2,20.475,7.95,5.725,2.275,
2016,29,Columbus Blue Jackets (CBJ),26,30.142857143,14.771428571,3.457142857,0.8,2.914285714,9.028571429,19.371428571,6.771428571,6.085714286,2.542857143,4
2016,53,Arizona Coyotes (ARI),11,28.583333333,14.777777778,2.138888889,0.444444444,3,11.888888889,27.722222222,7.027777778,5.027777778,2.777777778,
2011,9,Ottawa Senators (OTT),18,31.394736842,14.184210526,3,0.631578947,3.473684211,14.473684211,23.052631579,9.263157895,8.131578947,1.868421053,16
